6,e,OTTUE,50
J_1,1.0,1,1,ertsen
H_2,1.0,1,1,echten,erosie
E_3,0.6666666666666666,2,3,eclair,entmes,epoque
J_2,0.6666666666666666,2,3,eirond,elpees
G_2,0.5,1,2,eclair,entmes
I_3,0.5,1,2,esprit,eiland,ecloge
J_3,0.5,1,2,edeler,enigma,escort
F_3,0.5,1,2,eclair,entmes,epoque
A_2,0.5,1,2,entten,ergere
I_2,0.5,1,2,esprit,eiland
F_2,0.5,1,2,eiland,escort
H_3,0.5,1,2,enigma,escort,euvele
G_1,0.5,1,2,enters
I_1,0.3333333333333333,1,3,esprit
D_2,0.3333333333333333,1,3,eclair,entmes
A_1,0.0,0,3,erheen
A_3,0.0,0,1,eilaas,entten,ergere
B_1,0.0,0,0,enters
B_2,0.0,0,2,eerste,eiland
B_3,0.0,0,3,eigene,esdorp,etmaal
C_1,0.0,0,1,ertsen
C_2,0.0,0,1,eieren,escort
C_3,0.0,0,2,editor,eikels,entree
D_1,0.0,0,0,enters
D_3,0.0,0,0,edeler,enigma,escort
E_1,0.0,0,0,enters
E_2,0.0,0,1,eclair,entmes
F_1,0.0,0,2,enigma
G_3,0.0,0,0,enigma,escort,euvele
H_1,0.0,0,2,echecs
